,thewrank,school,thenrank
1803,1,California Institute of Technology,1
1805,3,Stanford University,2
1807,5,Massachusetts Institute of Technology,3
1808,6,Harvard University,4
1809,7,Princeton University,5
1812,10,University of Chicago,6
1813,11,Johns Hopkins University,7
1814,12,Yale University,8
1815,13,"University of California, Berkeley",9
1817,15,Columbia University,10
1818,16,"University of California, Los Angeles",11
1819,17,University of Pennsylvania,12
1820,18,Cornell University,13
1822,20,Duke University,14
1823,21,University of Michigan,15
1824,22,Carnegie Mellon University,16
1827,25,Northwestern University,17
1832,30,New York University,18
1834,32,University of Washington,19
1838,36,University of Illinois at Urbana-Champaign,20
1841,39,"University of California, San Diego",21
1842,40,"University of California, Santa Barbara",22
1843,41,Georgia Institute of Technology,23
1846,44,"University of California, Davis",24
1848,46,University of Texas at Austin,25
1852,50,University of Wisconsin-Madison,26
1853,51,Brown University,27
1863,61,Washington University in St Louis,28
1865,63,University of North Carolina at Chapel Hill,29
1866,64,Boston University,30
1868,66,University of Minnesota,31
1870,68,University of Southern California,32
1877,75,Pennsylvania State University,33
1881,79,University of Pittsburgh,34
1889,87,Vanderbilt University,35
1892,90,Emory University,36
1894,92,Ohio State University,37
1897,95,Georgetown University,38
1902,100,Michigan State University,39
1905,103,Rice University,40
1906,104,Dartmouth College,41
1909,107,"University of California, Irvine",42
1911,109,University of Notre Dame,43
1918,116,Purdue University,44
1920,118,"University of Maryland, College Park",45
1925,123,University of Florida,46
1927,125,"Rutgers, the State University of New Jersey",47
1930,128,University of Colorado Boulder,48
1931,129,Tufts University,49
1936,134,Case Western Reserve University,50
1944,142,University of Massachusetts,51
1947,145,"University of California, Santa Cruz",52
1950,148,University of Virginia,53
1961,159,University of Rochester,54
1964,162,University of Miami,55
1965,163,University of Arizona,56
1968,166,Yeshiva University,57
1969,167,"University of California, Riverside",58
1986,184,University of Utah,59
1987,185,Brandeis University,60
1991,189,Arizona State University,61
1993,191,Boston College,62
1996,194,Texas A&M University,63
2006,204,University at Buffalo,64
2014,212,Florida State University,65
2017,215,George Washington University,66
2021,219,University of Illinois at Chicago,67
2022,220,Indiana University,68
2023,221,University of Iowa,69
2029,227,Northeastern University,70
2030,228,Oregon Health and Science University,71
2037,235,Rush University,72
2040,238,University of South Florida,73
2041,239,Stony Brook University,74
2047,245,University of Texas at Dallas,75
2052,250,Wake Forest University,76
2054,252,William & Mary,77
2063,261,Colorado School of Mines,78
2064,262,Colorado State University,79
2065,263,University of Delaware,80
2067,265,University of Georgia,81
2071,269,Iowa State University,82
2083,281,North Carolina State University,83
2084,282,Oregon State University,84
2088,286,Rensselaer Polytechnic Institute,85
2091,289,Saint Louis University,86
2095,293,Syracuse University,87
2097,295,"University of Tennessee, Knoxville",88
2099,297,Tulane University,89
2102,300,Virginia Polytechnic Institute and State University,90
2106,304,University of Alaska Fairbanks,91
2110,308,University of Cincinnati,92
2111,309,University of Connecticut,93
2114,312,George Mason University,94
2123,321,Medical College of Wisconsin,95
2133,331,University of Nebraska-Lincoln,96
2135,333,University of Oregon,97
2154,352,"Binghamton University, State University of New York",98
2157,355,Drexel University,99
2165,363,University of Houston,100
2172,370,University of Missouri,101
2174,372,University of Montana,102
2176,374,University of Nebraska Medical Center,103
2177,375,University of New Mexico,104
2184,382,San Diego State University,105
2186,384,University of South Carolina,106
2187,385,University of South Dakota,107
2194,392,Temple University,108
2195,393,University of Texas at San Antonio,109
2202,400,Washington State University,110
2203,401,Wayne State University,111
2204,402,American University,112
2230,428,Florida International University,113
2232,430,Georgia State University,114
2236,434,Howard University,115
2238,436,University of Idaho,116
2250,448,Lehigh University,117
2251,449,Louisiana State University,118
2255,453,"University of Maryland, Baltimore County",119
2281,479,University of San Francisco,120
2286,484,State University of New York Albany,121
2306,504,University of Arkansas,122
2307,505,Auburn University,123
2340,538,Kansas State University,124
2342,540,Kent State University,125
2358,556,Missouri University of Science and Technology,126
2359,557,Montana State University,127
2365,563,New Jersey Institute of Technology,128
2366,564,New Mexico State University,129
2367,565,University of North Carolina at Greensboro,130
2368,566,Oklahoma State University,131
2376,574,Portland State University,132
2392,590,University of Texas at Arlington,133
2395,593,University of Toledo,134
2397,595,University of Tulsa,135
2400,598,University of Wisconsin-Milwaukee,136
2432,630,"California State University, Long Beach",137
2450,648,Clemson University,138
2471,669,Florida Institute of Technology,139
2507,705,Miami University,140
2525,723,Oakland University,141
2527,725,Ohio University,142
2542,740,Rochester Institute of Technology,143
2564,762,University of Southern Mississippi,144
2574,772,University of Texas at El Paso,145
2575,773,Texas Tech University,146
